street,length,width,sidewalk
3 tháng 2,1.0,21.0,2.0
30 tháng 4,1.2,21.0,7.5
alexandre yersin,0.27,7.5,5.0
an bắc 1,0.05,5.5,3.0
an bắc 2,0.14,5.5,2.0
an bắc 3,0.14,5.5,3.0
an bắc 4,0.145,5.5,3.0
an bắc 5,0.12,5.5,3.0
an cư 1,0.145,3.75,3.0
an cư 2,0.065,3.75,3.0
an cư 3,0.065,3.75,3.0
an cư 4,0.155,5.5,3.0
an cư 5,0.135,5.5,3.0
an cư 6,0.135,5.5,3.0
an cư 7,0.155,5.5,3.0
an dương vương,1.55,15.0,5.0
an hoà 1,0.27,7.5,4.0
an hoà 10,0.265,3.5,3.0
an hoà 11,0.1,3.5,3.0
an hoà 12,0.14,7.5,3.0
an hoà 2,0.16,5.5,3.0
an hoà 3,0.09,5.5,3.0
an hoà 4,0.275,7.5,4.0
an hoà 5,0.065,5.5,3.0
an hoà 6,0.13,5.5,3.0
an hoà 7,0.16,5.5,3.0
an hoà 8,0.13,5.5,3.0
an hoà 9,0.18,7.5,4.0
an hải 1,0.18,5.5,3.0
an hải 10,0.11,3.5,3.0
an hải 11,0.12,3.5,3.0
an hải 12,0.12,3.5,3.0
an hải 14,0.43,3.5,3.0
an hải 15,0.48,4.0,3.0
an hải 16,0.2,4.0,3.0
an hải 17,0.23,4.0,3.0
an hải 18,0.23,4.0,3.0
an hải 19,0.12,4.0,3.0
an hải 2,0.211,5.5,3.0
an hải 20,0.24,4.5,3.0
an hải 21,0.22,4.0,3.0
an hải 3,0.14,5.5,3.0
an hải 4,0.14,5.5,3.0
an hải 5,0.35,3.5,3.0
an hải 6,0.36,4.5,3.0
an hải 7,0.13,5.5,3.0
an hải 8,0.13,5.5,3.0
an hải 9,0.13,5.5,3.0
an hải bắc 1,0.08,3.75,2.0
an hải bắc 2,0.07,3.75,2.0
an hải bắc 3,0.08,3.75,2.0
an hải bắc 4,0.1,3.75,2.0
an hải bắc 5,0.05,3.75,2.0
an hải bắc 6,0.1,3.75,2.0
an hải bắc 7,0.085,5.5,3.0
an hải bắc 8,0.13,3.75,2.5
an mỹ,0.2,5.5,2.5
an mỹ 2,0.11,3.75,2.0
an mỹ 3,0.08,3.75,2.0
an mỹ 4,0.08,3.75,2.0
an mỹ 5,0.21,3.75,2.0
an mỹ 6,0.08,3.75,2.0
an mỹ 7,0.08,3.75,2.0
an mỹ 8,0.1,3.75,2.0
an nhơn 1,0.275,5.5,3.0
an nhơn 10,0.08,3.75,3.0
an nhơn 11,0.105,3.75,3.0
an nhơn 2,0.145,5.5,3.0
an nhơn 3,0.27,5.5,3.0
an nhơn 4,0.09,3.75,3.0
an nhơn 5,0.09,3.75,3.0
an nhơn 6,0.14,5.5,3.0
an nhơn 7,0.335,4.5,3.0
an nhơn 8,0.28,4.5,3.0
an nhơn 9,0.2,3.75,3.0
an ngãi 1,0.2,5.5,3.0
an ngãi 2,0.2,5.5,2.0
an ngãi 3,0.2,5.5,2.0
an ngãi 4,0.2,5.5,2.0
an ngãi 5,0.2,5.5,2.0
an ngãi 6,0.2,5.5,2.0
an ngãi 7,0.2,5.5,2.0
an ngãi 8,0.2,5.5,2.0
an ngãi 9,0.2,5.5,2.0
an nông,0.49,15.0,7.5
an thượng 1,0.17,5.5,3.0
an thượng 10,0.17,3.5,3.0
an thượng 11,0.17,5.5,3.0
an thượng 12,0.117,3.5,3.0
an thượng 14,0.266,3.5,3.0
an thượng 15,0.117,3.5,3.0
an thượng 16,0.22,3.5,3.0
an thượng 17,0.22,5.5,3.0
an thượng 18,0.25,3.5,3.0
an thượng 19,0.086,3.5,3.0
an thượng 2,0.17,7.5,4.5
an thượng 20,0.2,5.5,3.0
an thượng 21,0.26,4.5,3.0
an thượng 22,0.09,11.0,3.0
an thượng 23,0.15,5.5,3.0
an thượng 24,0.24,5.5,3.0
an thượng 26,0.2,5.5,3.0
an thượng 27,0.1,5.5,3.0
an thượng 28,0.1,5.5,3.0
an thượng 29,0.175,7.5,4.0
an thượng 3,0.17,7.5,4.5
an thượng 30,0.2,5.5,3.0
an thượng 31,0.12,5.5,3.0
an thượng 32,0.12,5.5,3.0
an thượng 33,0.12,5.5,3.0
an thượng 34,0.155,5.5,3.0
an thượng 35,0.27,6.5,3.5
an thượng 36,0.11,7.5,4.0
an thượng 37,0.17,5.5,3.0
an thượng 38,0.17,5.5,3.0
an thượng 39,0.17,5.5,3.0
an thượng 4,0.17,5.5,3.0
an thượng 40,0.15,5.5,3.0
an thượng 5,0.17,3.5,3.0
an thượng 6,0.17,5.5,3.0
an thượng 7,0.114,3.5,3.0
an thượng 8,0.114,3.5,3.0
an thượng 9,0.17,5.5,3.0
an trung 1,0.25,7.5,4.0
an trung 10,0.11,3.5,1.0
an trung 11,0.14,3.5,1.5
an trung 12,0.05,3.5,1.5
an trung 14,0.18,3.5,1.5
an trung 15,0.18,3.5,1.5
an trung 16,0.15,3.5,1.5
an trung 2,0.26,7.5,4.0
an trung 3,0.095,10.5,4.5
an trung 5,0.4,3.5,1.5
an trung 6,0.25,3.5,1.5
an trung 7,0.27,3.5,1.5
an trung 8,0.15,3.5,1.5
an trung 9,0.06,6.0,2.5
an trung đông 1,0.18,5.5,3.0
an trung đông 2,0.075,5.5,3.0
an trung đông 3,0.075,5.5,3.0
an trung đông 4,0.075,5.5,3.0
an trung đông 5,0.075,5.5,3.0
an trung đông 6,0.16,5.5,3.0
an tư công chúa,0.3,7.5,4.0
an vĩnh,0.1,5.5,3.0
an xuân,0.17,10.5,5.0
