ward,mean_price_m2
Phường An Hải Bắc,51.3125
Phường An Hải Tây,49.99333333333333
Phường An Hải Đông,51.90166666666667
Phường An Khê,47.314
Phường Bình Thuận,36.635
Phường Chính Gián,40.74090909090909
Phường Hoà Hải,33.17091463414634
Phường Hoà Quý,24.72515151515152
Phường Hoà An,29.343559322033897
Phường Hoà Cường Bắc,47.989285714285714
Phường Hoà Cường Nam,56.21625
Phường Hoà Hiệp Bắc,15.547142857142855
Phường Hoà Hiệp Nam,27.579473684210527
Phường Hoà Khánh Bắc,28.87826086956522
Phường Hoà Khánh Nam,25.183389830508474
Phường Hoà Khê,46.176
Phường Hoà Minh,41.65272277227723
Phường Hoà Phát,24.80655172413793
Phường Hoà Thuận Tây,44.16
Phường Hoà Thuận Đông,60.22
Phường Hoà Thọ Tây,17.317083333333333
Phường Hoà Thọ Đông,33.545609756097555
Phường Hoà Xuân,37.39433179723502
Phường Khuê Mỹ,44.72596774193549
Phường Khuê Trung,44.921666666666674
Phường Mân Thái,42.81
Phường Mỹ An,52.303333333333335
Phường Nam Dương,56.41
Phường Nại Hiên Đông,46.50913043478261
Phường Phước Mỹ,45.07333333333333
Phường Tam Thuận,36.17666666666667
Phường Thanh Bình,45.21
Phường Thanh Khê Tây,47.71333333333333
Phường Thanh Khê Đông,41.10666666666666
Phường Thọ Quang,44.88
Phường Tân Chính,44.72
Phường Xuân Hà,45.052
Xã Hoà Bắc,4.35
Xã Hoà Châu,18.5846
Xã Hoà Khương,5.716538461538462
Xã Hoà Liên,14.7275
Xã Hoà Nhơn,10.302592592592593
Xã Hoà Ninh,10.294375
Xã Hoà Phong,7.586666666666666
Xã Hoà Phú,4.772307692307693
Xã Hoà Phước,13.43156862745098
Xã Hoà Sơn,11.832857142857142
Xã Hoà Tiến,8.677142857142856
