ward,mean_price_m2
An Hải Bắc,60.37205881818182
An Hải Tây,69.91342105263158
An Hải Đông,63.73573913043478
An Khê,56.45902173913044
Bình Hiên,64.03285714285714
Bình Thuận,57.59802469135802
Chính Gián,59.65041958041958
Hoà Hải,42.71267441860465
Hoà Quý,36.417142857142856
Hòa An,40.0849696969697
Hòa Cường Bắc,69.86999999999999
Hòa Cường Nam,74.0845
Hòa Hiệp Bắc,25.072857142857142
Hòa Hiệp Nam,31.288196721311476
Hòa Khánh Bắc,35.388435374149665
Hòa Khánh Nam,35.59159663865546
Hòa Khê,61.83772532188841
Hòa Minh,54.48524621212121
Hòa Phát,37.56689189189189
Hòa Thuận Tây,77.45622950819671
Hòa Thuận Đông,68.50763636363637
Hòa Thọ Tây,27.977894736842106
Hòa Thọ Đông,44.25489130434782
Hòa Xuân,50.364816901408446
Hải Châu I,69.22288461538461
Hải Châu II,64.52105263157895
Khuê Mỹ,57.52059098453608
Khuê Trung,60.28550177514793
Mân Thái,56.01029835384615
Mỹ An,71.6512816467066
Nam Dương,68.98363636363636
Nại Hiên Đông,61.349661016949156
Phước Mỹ,73.76265625
Phước Ninh,64.92666666666666
Tam Thuận,58.636442307692306
Thanh Bình,70.71736842105263
Thanh Khê Tây,54.68273684210526
Thanh Khê Đông,58.791111111111114
Thuận Phước,70.9028
Thạc Gián,55.78247422680412
Thạch Thang,68.24288888888888
Thọ Quang,50.665000000000006
Tân Chính,62.0339393939394
Vĩnh Trung,65.79551724137932
Xuân Hà,57.908095238095235
Hòa Bắc,4.5
Hòa Châu,37.98085714285714
Hòa Khương,11.1675
Hòa Liên,26.590000000000003
Hòa Nhơn,9.805
Hòa Phước,39.13875
Hòa Sơn,21.34166666666667
Hòa Tiến,10.655
